date,category,amount,type,notes
2024-12-07,Entertainment,56.23,Expense,Daily Spend
2024-12-08,Groceries,88.56,Expense,Daily Spend
2024-12-08,Consulting,1062.58,Income,Side Hustle
2024-12-10,Dining Out,77.0,Expense,Daily Spend
2024-12-11,Transport,16.37,Expense,Daily Spend
2024-12-12,Transport,31.56,Expense,Daily Spend
2024-12-13,Coffee,12.43,Expense,Daily Spend
2024-12-14,Shopping,57.75,Expense,Daily Spend
2024-12-15,Transport,44.01,Expense,Daily Spend
2024-12-15,Freelance Project,414.47,Income,Side Hustle
2024-12-16,Groceries,93.95,Expense,Daily Spend
2024-12-18,Health,76.78,Expense,Daily Spend
2024-12-19,Entertainment,94.07,Expense,Daily Spend
2024-12-20,Transport,35.4,Expense,Daily Spend
2024-12-22,Groceries,101.13,Expense,Daily Spend
2024-12-23,Groceries,81.27,Expense,Daily Spend
2024-12-26,Dining Out,59.98,Expense,Daily Spend
2024-12-27,Transport,40.18,Expense,Daily Spend
2024-12-28,Entertainment,86.19,Expense,Daily Spend
2024-12-31,Shopping,150.38,Expense,Daily Spend
2025-01-01,Shopping,164.41,Expense,Daily Spend
2025-01-01,Subscription,15.47,Expense,Fixed Bill
2025-01-01,Insurance,99.77,Expense,Fixed Bill
2025-01-01,Salary,4500.0,Income,Monthly Salary
2025-01-01,Internet,60.19,Expense,Fixed Bill
2025-01-01,Rent,1188.03,Expense,Fixed Bill
2025-01-01,Utilities,145.6,Expense,Fixed Bill
2025-01-02,Groceries,55.24,Expense,Daily Spend
2025-01-03,Groceries,46.17,Expense,Daily Spend
2025-01-04,Groceries,82.66,Expense,Daily Spend
2025-01-05,Groceries,126.34,Expense,Daily Spend
2025-01-07,Groceries,116.12,Expense,Daily Spend
2025-01-08,Transport,18.44,Expense,Daily Spend
2025-01-13,Transport,21.44,Expense,Daily Spend
2025-01-14,Transport,11.92,Expense,Daily Spend
2025-01-15,Health,20.21,Expense,Daily Spend
2025-01-16,Shopping,143.48,Expense,Daily Spend
2025-01-17,Transport,29.95,Expense,Daily Spend
2025-01-18,Entertainment,55.3,Expense,Daily Spend
2025-01-19,Groceries,81.2,Expense,Daily Spend
2025-01-22,Dining Out,49.21,Expense,Daily Spend
2025-01-23,Groceries,70.79,Expense,Daily Spend
2025-01-24,Dining Out,52.2,Expense,Daily Spend
2025-01-26,Dining Out,47.97,Expense,Daily Spend
2025-01-27,Groceries,111.04,Expense,Daily Spend
2025-01-29,Coffee,6.93,Expense,Daily Spend
2025-01-30,Transport,25.36,Expense,Daily Spend
2025-01-31,Health,29.61,Expense,Daily Spend
2025-02-01,Transport,28.29,Expense,Daily Spend
2025-02-01,Subscription,15.04,Expense,Fixed Bill
2025-02-01,Insurance,103.77,Expense,Fixed Bill
2025-02-01,Utilities,151.97,Expense,Fixed Bill
2025-02-01,Internet,62.46,Expense,Fixed Bill
2025-02-01,Rent,1230.14,Expense,Fixed Bill
2025-02-01,Salary,4500.0,Income,Monthly Salary
2025-02-03,Coffee,7.06,Expense,Daily Spend
2025-02-04,Transport,29.4,Expense,Daily Spend
2025-02-05,Shopping,55.21,Expense,Daily Spend
2025-02-08,Coffee,8.99,Expense,Daily Spend
2025-02-11,Transport,28.52,Expense,Daily Spend
2025-02-12,Groceries,135.55,Expense,Daily Spend
2025-02-13,Dining Out,44.65,Expense,Daily Spend
2025-02-14,Shopping,165.13,Expense,Daily Spend
2025-02-15,Groceries,111.83,Expense,Daily Spend
2025-02-16,Transport,40.87,Expense,Daily Spend
2025-02-17,Groceries,145.59,Expense,Daily Spend
2025-02-18,Dining Out,37.38,Expense,Daily Spend
2025-02-19,Groceries,135.67,Expense,Daily Spend
2025-02-21,Groceries,46.7,Expense,Daily Spend
2025-02-23,Transport,18.5,Expense,Daily Spend
2025-02-24,Transport,23.51,Expense,Daily Spend
2025-02-25,Entertainment,43.91,Expense,Daily Spend
2025-02-27,Groceries,93.79,Expense,Daily Spend
2025-02-28,Health,48.95,Expense,Daily Spend
2025-03-01,Salary,4500.0,Income,Monthly Salary
2025-03-01,Rent,1259.62,Expense,Fixed Bill
2025-03-01,Internet,60.36,Expense,Fixed Bill
2025-03-01,Utilities,142.98,Expense,Fixed Bill
2025-03-01,Insurance,104.67,Expense,Fixed Bill
2025-03-01,Subscription,15.29,Expense,Fixed Bill
2025-03-01,Entertainment,46.69,Expense,Daily Spend
2025-03-02,Dining Out,61.56,Expense,Daily Spend
2025-03-03,Transport,25.42,Expense,Daily Spend
2025-03-05,Groceries,78.75,Expense,Daily Spend
2025-03-06,Dividend,179.57,Income,Side Hustle
2025-03-06,Shopping,94.24,Expense,Daily Spend
2025-03-07,Transport,41.36,Expense,Daily Spend
2025-03-08,Dining Out,43.09,Expense,Daily Spend
2025-03-09,Dining Out,25.16,Expense,Daily Spend
2025-03-10,Transport,17.11,Expense,Daily Spend
2025-03-11,Groceries,53.51,Expense,Daily Spend
2025-03-12,Groceries,127.09,Expense,Daily Spend
2025-03-15,Groceries,98.33,Expense,Daily Spend
2025-03-16,Transport,34.25,Expense,Daily Spend
2025-03-19,Entertainment,25.72,Expense,Daily Spend
